iter	Passed	Remaining
0	1	166
1	2	139
2	3	124
3	4	115
4	6	122
5	7	120
6	8	118
7	10	116
8	11	116
9	12	114
10	13	113
11	15	110
12	16	109
13	17	109
14	18	107
15	20	105
16	21	104
17	22	103
18	23	101
19	25	100
20	26	99
21	27	98
22	29	97
23	30	96
24	31	95
25	33	94
26	34	92
27	35	91
28	37	91
29	38	90
30	40	90
31	41	88
32	42	87
33	44	86
34	46	85
35	47	84
36	49	83
37	50	82
38	51	81
39	52	79
40	54	78
41	54	75
42	56	74
43	58	74
44	59	72
45	60	71
46	61	69
47	63	68
48	64	66
49	65	65
50	66	63
51	67	62
52	68	61
53	70	59
54	70	57
55	71	56
56	73	55
57	74	54
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	92	34
73	93	32
74	94	31
75	95	30
76	97	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
